PlayerID,FG,FGA,3P,3PA,FT,FTA,FG%,3P%,FT%
waterli01,2.0,5.4,1.3,3.9,0.2,0.3,0.371,0.331,0.727
waterli01,1.1,3.1,1.1,2.7,0.0,0.0,0.364,0.395,
queentr01,1.8,4.7,0.7,2.5,0.6,0.7,0.381,0.286,0.857
landajo01,1.9,3.6,0.3,0.6,0.6,1.0,0.533,0.423,0.675
castlco01,1.8,3.8,0.1,0.6,1.1,1.5,0.469,0.125,0.763
castlco01,0.2,1.0,0.0,0.4,1.0,1.1,0.2,0.0,0.909
castlco01,2.9,5.8,0.2,0.7,1.2,1.6,0.5,0.25,0.722
castlco01,2.4,4.8,0.0,0.8,1.2,1.8,0.5,0.0,0.667
hendrta01,1.3,6.0,1.0,4.0,1.0,1.3,0.222,0.25,0.75
roddyda01,1.7,3.8,0.6,1.8,0.6,0.8,0.456,0.311,0.769
roddyda01,1.6,3.4,0.6,1.6,0.7,0.8,0.473,0.372,0.818
roddyda01,2.7,6.3,0.7,3.7,0.0,0.0,0.421,0.182,
roddyda01,1.7,4.3,0.3,2.3,0.7,1.3,0.385,0.143,0.5
eubandr01,1.9,3.2,0.0,0.1,0.8,1.2,0.593,0.5,0.662
eubandr01,2.4,3.9,0.1,0.1,1.0,1.5,0.607,0.6,0.632
eubandr01,1.1,2.0,0.0,0.0,0.5,0.6,0.551,0.0,0.786
larsspe01,1.6,3.7,0.6,1.7,0.7,1.1,0.438,0.337,0.672
phillju01,1.6,3.6,0.6,1.9,0.8,1.0,0.446,0.327,0.789
willico04,1.7,5.1,0.7,2.7,0.6,0.8,0.323,0.259,0.725
dilliro01,1.9,4.3,0.5,1.5,0.2,0.3,0.441,0.338,0.533
howarje01,1.6,4.4,0.9,3.1,0.3,0.4,0.374,0.296,0.696
looneke01,1.9,3.7,0.0,0.1,0.7,1.3,0.514,0.4,0.566
plumlma01,1.7,2.7,0.0,0.1,1.1,1.7,0.619,0.0,0.648
terryda01,1.6,3.7,0.5,1.4,0.7,0.9,0.448,0.356,0.71
baglema01,1.8,3.4,0.1,0.6,0.7,1.1,0.519,0.158,0.657
baglema01,2.0,3.7,0.1,0.5,0.8,1.2,0.535,0.2,0.652
baglema01,1.4,2.9,0.1,0.8,0.7,1.0,0.486,0.111,0.667
bassech01,1.9,3.3,0.0,0.0,0.6,0.9,0.581,,0.636
bradlto01,2.1,3.2,0.1,0.2,0.1,0.4,0.644,0.333,0.333
jacksre01,1.7,4.3,0.8,2.4,0.2,0.3,0.391,0.338,0.778
sheppre01,1.6,4.6,0.9,2.7,0.3,0.3,0.351,0.338,0.813
stevela01,1.7,3.7,0.5,1.6,0.5,0.6,0.46,0.296,0.727
bambamo01,1.6,3.5,0.5,1.7,0.6,0.8,0.464,0.278,0.704
bambamo01,1.7,3.7,0.5,1.8,0.6,0.9,0.466,0.3,0.68
bambamo01,1.0,2.3,0.0,1.0,0.5,0.5,0.444,0.0,1.0
carteje01,1.5,4.1,1.0,2.9,0.2,0.3,0.377,0.333,0.8
pottemi01,1.5,3.6,0.8,2.6,0.4,0.5,0.422,0.316,0.85
shannte01,1.7,3.6,0.3,1.0,0.5,0.7,0.482,0.355,0.81
theisda01,1.6,3.4,0.2,1.0,0.8,1.0,0.473,0.243,0.838
craigto01,1.5,3.5,0.9,2.5,0.3,0.5,0.422,0.364,0.667
craigto01,2.4,5.0,1.7,3.9,0.3,0.4,0.489,0.429,0.75
craigto01,0.9,2.6,0.5,1.8,0.3,0.5,0.356,0.29,0.625
moorewe01,1.6,3.5,0.4,1.1,0.5,0.6,0.468,0.341,0.818
moorewe01,1.2,2.5,0.2,0.7,0.7,0.7,0.46,0.286,0.929
moorewe01,2.3,4.8,0.6,1.7,0.3,0.5,0.474,0.37,0.625
