PlayerID,Player,Age,Pos,TeamID
manntr01,Tre Mann,23.0,PG,CHO
thompam01,Amen Thompson,22.0,SF,HOU
vanvlfr01,Fred VanVleet,30.0,PG,HOU
brookdi01,Dillon Brooks,29.0,SF,HOU
smithto05,Tolu Smith,24.0,PF,DET
thompkl01,Klay Thompson,34.0,SF,DAL
portibo01,Bobby Portis,29.0,PF,MIL
harrito02,Tobias Harris,32.0,PF,DET
hartjo01,Josh Hart,29.0,SG,NYK
allenja01,Jarrett Allen,26.0,C,CLE
okongon01,Onyeka Okongwu,24.0,C,ATL
westbru01,Russell Westbrook,36.0,PG,DEN
marshna01,Naji Marshall,27.0,SF,DAL
schrode01,Dennis Schröder,31.0,PG,3TM
schrode01,Dennis Schröder,31.0,PG,BRK
schrode01,Dennis Schröder,31.0,SG,GSW
schrode01,Dennis Schröder,31.0,PG,DET
hachiru01,Rui Hachimura,26.0,PF,LAL
lopezbr01,Brook Lopez,36.0,C,MIL
sarral01,Alex Sarr,19.0,C,WAS
wagnemo01,Moritz Wagner,27.0,C,ORL
brogdma01,Malcolm Brogdon,32.0,PG,WAS
hendesc01,Scoot Henderson,20.0,PG,POR
johnske04,Keldon Johnson,25.0,SF,SAS
russeda01,D'Angelo Russell,28.0,PG,2TM
russeda01,D'Angelo Russell,28.0,PG,LAL
russeda01,D'Angelo Russell,28.0,PG,BRK
risacza01,Zaccharie Risacher,19.0,SF,ATL
aldamsa01,Santi Aldama,24.0,PF,MEM
jeromty01,Ty Jerome,27.0,SG,CLE
murrake02,Keegan Murray,24.0,PF,SAC
walkelo01,Lonnie Walker IV,26.0,SG,PHI
barneha02,Harrison Barnes,32.0,PF,SAS
coulibi01,Bilal Coulibaly,20.0,SF,WAS
dosunay01,Ayo Dosunmu,25.0,SG,CHI
gaffoda01,Daniel Gafford,26.0,C,DAL
mcdanja02,Jaden McDaniels,24.0,PF,MIN
smithja05,Jabari Smith Jr.,21.0,PF,HOU
leverca01,Caris LeVert,30.0,SG,2TM
leverca01,Caris LeVert,30.0,SF,CLE
leverca01,Caris LeVert,30.0,SG,ATL
timmedr01,Drew Timme,24.0,PF,BRK
easonta01,Tari Eason,23.0,PF,HOU
goberru01,Rudy Gobert,32.0,C,MIN
nesmiaa01,Aaron Nesmith,25.0,SF,IND
wiggiaa01,Aaron Wiggins,26.0,SG,OKC
middlkh01,Khris Middleton,33.0,SF,2TM
middlkh01,Khris Middleton,33.0,SF,MIL
middlkh01,Khris Middleton,33.0,SF,WAS
durenja01,Jalen Duren,21.0,C,DET
divindo01,Donte DiVincenzo,28.0,SG,MIN
podzibr01,Brandin Podziemski,21.0,SG,GSW
kispeco01,Corey Kispert,25.0,SF,WAS
sochaje01,Jeremy Sochan,21.0,PF,SAS
camarto01,Toumani Camara,24.0,PF,POR
harteis01,Isaiah Hartenstein,26.0,C,OKC
hieldbu01,Buddy Hield,32.0,SG,GSW
holidjr01,Jrue Holiday,34.0,PG,BOS
kesslwa01,Walker Kessler,23.0,C,UTA
trentga02,Gary Trent Jr.,26.0,SG,MIL
dinwisp01,Spencer Dinwiddie,31.0,PG,DAL
hardati02,Tim Hardaway Jr.,32.0,SG,DET
