TeamID
OKC
MIL
DEN
2TM
DAL
LAL
MIN
BOS
PHO
PHI
DET
NYK
ORL
CHO
NOP
GSW
SAS
ATL
CLE
BRK
MIA
SAC
CHI
MEM
LAC
TOR
HOU
WAS
IND
POR
UTA
3TM
""
